Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE TOPIARY,"1,130,000",753.48,"1,500",Apr-26,FERNVALE LANE,Resale,Strata,70,"16,143",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,06 to 10
THE TOPIARY,"1,828,880","1,388.56","1,317",Apr-26,FERNVALE LANE,Resale,Strata,129,"14,177",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,01 to 05
THE TAMPINES TRILLIANT,"1,620,000",871.88,"1,858",Apr-26,TAMPINES CENTRAL 7,Resale,Strata,81,"20,000",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
ARC AT TAMPINES,"1,780,000","1,291.68","1,378",Apr-26,TAMPINES AVENUE 8,Resale,Strata,120,"14,833",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
THE RAINFOREST,"1,730,000","1,140.98","1,516",Apr-26,CHOA CHU KANG AVENUE 3,Resale,Strata,106,"16,321",-,Executive Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10
THE CRITERION,"1,230,000",893.41,"1,377",Apr-26,YISHUN STREET 51,Resale,Strata,83,"14,819",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
THE RAINFOREST,"1,428,000",979.52,"1,458",Apr-26,CHOA CHU KANG AVENUE 3,Resale,Strata,91,"15,692",-,Executive Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,01 to 05
NORTHWAVE,"1,270,000",979.52,"1,297",Apr-26,WOODLANDS VIEW,Resale,Strata,91,"13,956",-,Executive Condominium,1,99 yrs lease commencing from 2015,25,Outside Central Region,06 to 10
RIVERCOVE RESIDENCES,"1,480,000",904.18,"1,637",Apr-26,ANCHORVALE LANE,Resale,Strata,84,"17,619",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,11 to 15
WATERBAY,"1,620,000","1,076.4","1,505",Apr-26,EDGEFIELD PLAINS,Resale,Strata,100,"16,200",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE TAMPINES TRILLIANT,"2,285,000","1,302.44","1,754",Apr-26,TAMPINES CENTRAL 7,Resale,Strata,121,"18,884",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
PRIVE,"1,790,000","1,087.16","1,646",Apr-26,PUNGGOL FIELD,Resale,Strata,101,"17,723",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
ARC AT TAMPINES,"1,358,000",958,"1,418",Apr-26,TAMPINES AVENUE 8,Resale,Strata,89,"15,258",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
NORTHWAVE,"1,235,000",979.52,"1,261",Apr-26,WOODLANDS VIEW,Resale,Strata,91,"13,571",-,Executive Condominium,1,99 yrs lease commencing from 2015,25,Outside Central Region,06 to 10
SIMEI GREEN CONDOMINIUM,"1,288,888","1,248.62","1,032",Apr-26,SIMEI STREET 4,Resale,Strata,116,"11,111",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
TWIN WATERFALLS,"1,728,000","1,108.69","1,559",Apr-26,PUNGGOL WALK,Resale,Strata,103,"16,777",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
SEA HORIZON,"1,368,888","1,033.34","1,325",Apr-26,PASIR RIS RISE,Resale,Strata,96,"14,259",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,01 to 05
AUSTVILLE RESIDENCES,"1,375,000","1,022.58","1,345",Apr-26,SENGKANG EAST AVENUE,Resale,Strata,95,"14,474",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
NUOVO,"1,708,888","1,280.92","1,334",Apr-26,ANG MO KIO AVENUE 9,Resale,Strata,119,"14,360",-,Executive Condominium,1,99 yrs lease commencing from 2001,20,Outside Central Region,11 to 15
SIGNATURE AT YISHUN,"1,360,000","1,076.4","1,263",Apr-26,YISHUN STREET 51,Resale,Strata,100,"13,600",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
NORTHOAKS,"1,050,000","1,237.86",848,Apr-26,WOODLANDS CRESCENT,Resale,Strata,115,"9,130",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,06 to 10
WATERBAY,"1,655,000","1,097.93","1,507",Apr-26,EDGEFIELD PLAINS,Resale,Strata,102,"16,225",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
AUSTVILLE RESIDENCES,"1,300,000","1,087.16","1,196",Apr-26,SENGKANG EAST AVENUE,Resale,Strata,101,"12,871",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
